Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-8144,2022-07-18,2021-01-22,CUST-242,Diana,Consumer,California,West,PROD-109,Furniture,Laptop,Pen Model Z,118.77,6,0.26,-15.05
ORD-5352,2021-10-30,2022-09-07,CUST-291,Bob,Home Office,Texas,Central,PROD-277,Office Supplies,Notebook,Tablet Model Z,180.09,9,0.27,-28.29
ORD-1184,2021-04-09,2022-06-02,CUST-618,Grace,Corporate,Texas,South,PROD-818,Technology,Notebook,Desk Model Z,1458.64,4,0.12,23.97
ORD-6809,2022-07-11,2022-10-24,CUST-503,Eve,Home Office,Florida,East,PROD-608,Furniture,Notebook,Pen Model Y,151.39,1,0.25,-9.99
ORD-5065,2021-02-11,2021-11-27,CUST-374,Diana,Home Office,Illinois,Central,PROD-225,Office Supplies,Chair,Laptop Model Z,984.57,4,0.03,88.38
ORD-8181,2023-09-18,2022-01-14,CUST-745,Diana,Home Office,California,East,PROD-947,Office Supplies,Notebook,Notebook Model X,672.09,8,0.06,93.7
ORD-9437,2022-04-13,2021-06-10,CUST-138,Eve,Consumer,Florida,East,PROD-624,Technology,Notebook,Desk Model Z,1293.98,4,0.18,15.85
ORD-8504,2022-03-16,2022-10-21,CUST-292,Alice,Consumer,Texas,Central,PROD-143,Furniture,Tablet,Desk Model X,455.58,5,0.2,-20.11
ORD-8426,2021-11-23,2021-12-21,CUST-426,Charlie,Corporate,Florida,West,PROD-847,Furniture,Pen,Pen Model Z,62.79,3,0.08,4.75
ORD-3087,2022-07-23,2021-03-21,CUST-582,Eve,Corporate,California,South,PROD-484,Technology,Printer,Monitor Model Z,1127.93,6,0.28,-136.68
ORD-1600,2021-02-02,2021-06-02,CUST-124,Alice,Consumer,Florida,West,PROD-786,Office Supplies,Pen,Laptop Model X,891.36,9,0.19,-9.61
ORD-8804,2022-02-16,2022-06-02,CUST-201,Frank,Consumer,New York,East,PROD-349,Furniture,Monitor,Pen Model Z,663.06,5,0.28,-69.94
ORD-6537,2023-03-23,2022-01-19,CUST-762,Diana,Home Office,Illinois,West,PROD-154,Furniture,Printer,Laptop Model Z,498.06,2,0.03,63.71
ORD-4033,2022-05-23,2022-11-25,CUST-316,Bob,Consumer,California,East,PROD-772,Technology,Desk,Laptop Model Z,1351.17,3,0.18,-10.28
ORD-3056,2021-02-25,2021-12-19,CUST-841,Frank,Home Office,New York,East,PROD-371,Office Supplies,Monitor,Notebook Model Y,200.26,3,0.1,2.91
ORD-9724,2022-06-30,2023-08-10,CUST-366,Grace,Consumer,Florida,Central,PROD-659,Office Supplies,Notebook,Desk Model X,229.2,4,0.26,-31.02
ORD-6084,2021-07-15,2021-05-14,CUST-261,Diana,Home Office,California,Central,PROD-390,Office Supplies,Laptop,Tablet Model Z,41.95,3,0.0,7.73
ORD-3042,2022-02-17,2022-09-27,CUST-386,Diana,Consumer,Florida,West,PROD-150,Furniture,Chair,Notebook Model X,127.39,1,0.23,-21.18
ORD-8960,2022-09-29,2021-06-19,CUST-777,Frank,Consumer,Illinois,Central,PROD-945,Office Supplies,Monitor,Notebook Model X,1288.78,9,0.05,149.99
ORD-1357,2023-01-12,2023-05-17,CUST-985,Alice,Corporate,Illinois,East,PROD-716,Technology,Monitor,Laptop Model X,1194.6,7,0.27,-142.49
